run,score,step
1,5.0,261
2,2.0,370
3,1.0,140
4,11.0,795
5,3.0,123
6,0.0,86
7,6.0,301
8,3.0,274
9,3.0,236
10,5.0,324
11,3.0,228
12,3.0,218
13,3.0,235
14,0.0,98
15,3.0,266
16,20.0,886
17,1.0,139
18,7.0,482
19,2.0,134
20,2.0,121
21,6.0,397
22,3.0,168
23,8.0,268
24,4.0,217
25,1.0,86
26,0.0,123
27,4.0,193
28,4.0,140
29,6.0,1217
30,1.0,202
31,3.0,154
32,4.0,305
33,6.0,243
34,1.0,211
35,0.0,110
36,4.0,240
37,0.0,148
38,3.0,227
39,1.0,204
40,2.0,82
41,2.0,90
42,6.0,268
43,4.0,240
44,2.0,103
45,2.0,210
46,1.0,97
47,1.0,93
48,7.0,256
49,2.0,175
50,0.0,265
51,2.0,211
52,2.0,137
53,3.0,182
54,16.0,712
55,7.0,359
56,2.0,235
57,0.0,135
58,3.0,131
59,2.0,98
60,2.0,201
61,2.0,141
62,1.0,140
63,1.0,181
64,5.0,124
65,1.0,182
66,2.0,286
67,0.0,177
68,2.0,150
69,3.0,192
70,2.0,81
71,5.0,282
72,2.0,153
73,2.0,140
74,4.0,348
75,7.0,362
76,2.0,205
77,9.0,428
78,6.0,277
79,0.0,188
80,0.0,193
81,3.0,217
82,2.0,90
83,1.0,295
84,10.0,404
85,9.0,562
86,0.0,96
87,3.0,225
88,3.0,238
89,5.0,210
90,3.0,206
91,4.0,132
92,4.0,360
93,1.0,205
94,2.0,79
95,2.0,91
96,6.0,467
97,2.0,123
98,2.0,148
99,6.0,279
100,4.0,362
101,1.0,203
102,8.0,306
103,5.0,415
104,1.0,107
105,4.0,278
106,4.0,375
107,0.0,127
108,4.0,228
109,1.0,277
110,6.0,239
111,2.0,254
112,1.0,193
113,2.0,150
114,3.0,246
115,4.0,263
116,3.0,134
117,5.0,207
118,6.0,306
119,1.0,263
120,3.0,216
121,2.0,92
122,1.0,206
123,3.0,282
124,1.0,94
125,1.0,175
126,3.0,227
127,2.0,80
128,7.0,505
129,0.0,136
130,1.0,136
131,2.0,94
132,8.0,372
133,0.0,92
134,1.0,189
135,9.0,608
136,2.0,119
137,2.0,98
138,9.0,612
139,1.0,136
140,1.0,101
141,3.0,223
142,2.0,78
143,0.0,172
144,1.0,199
145,6.0,437
146,1.0,130
147,3.0,206
148,4.0,123
149,0.0,160
150,5.0,330
151,5.0,324
152,4.0,223
153,7.0,539
154,1.0,350
155,3.0,90
156,0.0,114
157,3.0,217
158,2.0,299
159,2.0,320
160,4.0,297
161,3.0,164
162,3.0,239
163,1.0,92
164,3.0,293
165,1.0,195
166,3.0,97
167,1.0,101
168,3.0,374
169,0.0,127
170,2.0,122
171,4.0,218
172,5.0,212
173,1.0,225
174,4.0,223
175,1.0,104
176,5.0,401
177,3.0,208
178,2.0,95
179,2.0,163
180,4.0,212
181,2.0,94
182,5.0,333
183,6.0,244
184,6.0,565
185,1.0,160
186,5.0,291
187,0.0,180
188,0.0,83
189,6.0,293
190,6.0,371
191,2.0,712
192,3.0,215
193,4.0,205
194,2.0,192
195,5.0,217
196,2.0,103
197,1.0,262
198,4.0,211
199,2.0,81
200,1.0,93
201,3.0,253
202,1.0,157
203,1.0,123
204,1.0,210
205,6.0,277
206,3.0,132
207,0.0,134
208,4.0,151
209,8.0,519
210,4.0,216
211,1.0,102
212,1.0,214
213,9.0,431
214,3.0,205
215,2.0,278
216,5.0,313
217,0.0,167
218,3.0,225
219,4.0,191
220,2.0,81
221,2.0,134
222,0.0,189
223,3.0,273
224,3.0,188
225,7.0,462
226,2.0,87
227,2.0,136
228,1.0,146
229,1.0,105
230,1.0,90
231,3.0,218
232,5.0,273
233,0.0,131
234,4.0,264
235,4.0,217
236,2.0,236
237,0.0,140
238,12.0,548
239,1.0,149
240,5.0,252
241,1.0,180
242,4.0,293
243,1.0,164
244,1.0,101
245,2.0,86
246,3.0,257
247,6.0,268
248,2.0,88
249,3.0,280
250,1.0,162
251,1.0,109
252,3.0,201
253,1.0,102
254,1.0,120
255,1.0,203
256,5.0,396
257,0.0,113
258,2.0,202
259,3.0,123
260,0.0,103
261,6.0,317
262,6.0,312
263,2.0,227
264,12.0,503
265,0.0,150
266,3.0,253
267,1.0,261
268,0.0,79
269,1.0,154
270,2.0,195
271,5.0,430
272,7.0,450
273,3.0,212
274,2.0,85
275,4.0,216
276,2.0,210
277,7.0,382
278,3.0,178
279,8.0,396
280,5.0,221
281,13.0,657
282,6.0,412
283,5.0,282
284,3.0,205
285,3.0,261
286,3.0,213
287,1.0,222
288,8.0,588
289,1.0,278
290,6.0,547
291,5.0,262
292,3.0,145
293,2.0,173
294,3.0,199
295,3.0,133
296,2.0,137
297,9.0,313
298,0.0,208
299,2.0,112
300,5.0,270
301,9.0,475
302,5.0,471
303,3.0,309
304,1.0,142
305,1.0,172
306,3.0,263
307,9.0,497
308,0.0,200
309,1.0,118
310,2.0,168
311,0.0,90
312,11.0,607
313,2.0,178
314,4.0,208
315,0.0,144
316,4.0,135
317,1.0,102
318,1.0,173
319,4.0,133
320,6.0,393
321,3.0,245
322,2.0,81
323,3.0,253
324,3.0,216
325,1.0,94
326,1.0,185
327,1.0,200
328,1.0,91
329,1.0,166
330,6.0,264
331,1.0,176
332,0.0,146
333,2.0,188
334,10.0,398
335,0.0,91
336,6.0,246
337,3.0,199
338,3.0,255
339,1.0,226
340,3.0,239
341,2.0,128
342,4.0,178
343,8.0,298
344,11.0,406
345,4.0,272
346,2.0,294
347,2.0,220
348,5.0,320
349,0.0,89
350,0.0,76
351,0.0,123
352,4.0,194
353,3.0,301
354,8.0,532
355,3.0,225
356,18.0,983
357,9.0,380
358,2.0,192
359,2.0,110
360,2.0,192
361,3.0,121
362,2.0,143
363,0.0,120
364,3.0,150
365,1.0,110
366,3.0,265
367,7.0,401
368,1.0,100
369,1.0,189
370,4.0,288
371,3.0,158
372,6.0,272
373,0.0,129
374,4.0,257
375,2.0,275
376,1.0,265
377,2.0,96
378,2.0,151
379,4.0,121
380,2.0,93
381,3.0,260
382,2.0,317
383,1.0,95
384,0.0,195
385,1.0,91
386,2.0,101
387,1.0,142
388,3.0,120
389,5.0,357
390,1.0,249
391,1.0,236
392,0.0,129
393,5.0,234
394,0.0,111
395,2.0,232
396,0.0,156
397,6.0,147
398,2.0,177
399,2.0,266
400,1.0,173
401,0.0,160
402,6.0,291
403,6.0,538
404,2.0,83
405,0.0,173
406,2.0,82
407,2.0,95
408,0.0,131
409,3.0,200
410,0.0,95
411,0.0,239
412,2.0,175
413,0.0,98
414,1.0,154
415,3.0,126
416,2.0,89
417,4.0,216
418,1.0,92
419,0.0,183
420,6.0,393
421,2.0,150
422,2.0,108
423,5.0,539
424,2.0,92
425,11.0,450
426,4.0,211
427,2.0,78
428,1.0,91
429,1.0,159
430,10.0,444
431,10.0,529
432,0.0,125
433,3.0,185
434,3.0,101
435,2.0,227
436,1.0,77
437,6.0,367
438,6.0,245
439,7.0,481
440,6.0,340
441,8.0,378
442,6.0,491
443,2.0,277
444,8.0,420
445,5.0,452
446,0.0,106
447,7.0,399
448,5.0,393
449,3.0,585
450,1.0,177
451,1.0,80
452,3.0,166
453,4.0,222
454,13.0,488
455,2.0,186
456,3.0,368
457,1.0,182
458,2.0,90
459,4.0,236
460,0.0,79
461,1.0,153
462,0.0,117
463,6.0,429
464,0.0,73
465,5.0,315
466,1.0,314
467,1.0,308
468,3.0,203
469,11.0,571
470,2.0,251
471,7.0,427
472,13.0,453
473,0.0,103
474,5.0,200
475,2.0,95
476,0.0,101
477,0.0,128
478,4.0,172
479,0.0,207
480,2.0,183
481,3.0,148
482,2.0,223
483,2.0,211
484,2.0,87
485,1.0,237
486,1.0,133
487,4.0,131
488,1.0,101
489,5.0,269
490,0.0,148
491,0.0,103
492,0.0,240
493,2.0,156
494,0.0,110
495,3.0,241
496,1.0,192
497,0.0,145
498,2.0,198
499,0.0,125
500,2.0,307
501,0.0,138
502,8.0,465
503,1.0,81
504,3.0,204
505,2.0,97
506,2.0,220
507,0.0,120
508,0.0,127
509,3.0,94
510,1.0,208
511,1.0,130
512,2.0,131
513,4.0,290
514,11.0,417
515,1.0,145
516,2.0,205
517,4.0,136
518,1.0,176
519,5.0,324
520,1.0,136
521,1.0,144
522,3.0,203
523,4.0,228
524,0.0,93
525,19.0,913
526,2.0,112
527,2.0,215
528,0.0,114
529,4.0,140
530,2.0,95
531,5.0,238
532,3.0,180
