run,total_step,score
1,204,6.0
2,336,1.0
3,625,2.0
4,738,1.0
5,949,2.0
6,1197,1.0
7,1533,6.0
8,1912,6.0
9,2479,15.0
10,2746,2.0
11,3053,9.0
12,3162,1.0
13,3552,10.0
14,3695,2.0
15,3813,2.0
16,4636,14.0
17,4823,0.0
18,4907,0.0
19,5174,6.0
20,5396,0.0
21,5554,3.0
22,5817,6.0
23,5914,0.0
24,6114,2.0
25,6329,5.0
26,6439,1.0
27,6807,4.0
28,7083,5.0
29,7211,1.0
30,7431,2.0
31,7675,4.0
32,8288,11.0
33,8476,0.0
34,8693,3.0
35,8774,2.0
36,8876,0.0
37,9280,7.0
38,9445,0.0
39,10024,14.0
40,10543,10.0
41,10698,1.0
42,10923,1.0
43,11177,6.0
44,11413,1.0
45,11554,2.0
46,11790,6.0
47,12054,4.0
48,12163,3.0
49,12408,5.0
50,12553,0.0
51,12699,0.0
52,12904,1.0
53,13188,5.0
54,13335,1.0
55,13521,1.0
56,13804,7.0
57,14211,7.0
58,14479,7.0
59,14558,0.0
60,14682,0.0
61,14963,7.0
62,15312,6.0
63,15734,10.0
64,15845,1.0
65,16043,7.0
66,16460,4.0
67,16647,4.0
68,16977,6.0
69,17138,4.0
70,17360,4.0
71,17692,9.0
72,18026,0.0
73,18150,1.0
74,18483,9.0
75,18610,1.0
76,18750,1.0
77,19035,8.0
78,19339,3.0
79,19516,4.0
80,19644,4.0
81,19987,3.0
82,20293,7.0
83,20828,8.0
84,20982,1.0
85,21254,1.0
86,21406,1.0
87,21576,2.0
88,22093,10.0
89,22346,2.0
90,22446,1.0
91,22655,5.0
92,22780,2.0
93,23013,0.0
94,23123,1.0
95,23757,12.0
96,23907,4.0
97,24072,2.0
98,24279,5.0
99,24591,3.0
100,24739,1.0
101,24973,7.0
102,25240,4.0
103,25448,3.0
104,25551,2.0
105,25879,3.0
106,26421,12.0
107,26670,5.0
108,26788,0.0
109,27061,4.0
110,27148,0.0
111,27392,3.0
112,27666,6.0
113,27877,5.0
114,28521,11.0
115,28674,2.0
116,28932,6.0
117,29100,0.0
118,29217,1.0
119,29386,3.0
120,29473,2.0
121,29666,3.0
122,30315,12.0
123,30438,0.0
124,30606,3.0
125,30684,1.0
126,30809,3.0
127,30955,3.0
128,31231,5.0
129,31361,0.0
130,31565,1.0
131,32083,11.0
132,32183,2.0
133,32388,5.0
134,32698,3.0
135,32804,1.0
136,33328,15.0
137,33575,3.0
138,33838,1.0
139,33961,1.0
140,34386,2.0
141,34547,5.0
142,34797,1.0
143,34937,0.0
144,35018,0.0
145,35206,3.0
146,35372,5.0
147,35592,2.0
148,35796,6.0
149,35878,2.0
150,35971,0.0
151,36111,1.0
152,36454,10.0
153,36750,1.0
154,37099,7.0
155,37283,2.0
156,37430,2.0
157,37597,3.0
158,37724,4.0
159,38227,16.0
160,38444,5.0
161,38711,4.0
162,39004,6.0
163,39421,10.0
164,39551,0.0
165,39634,1.0
166,39888,3.0
167,40435,10.0
168,40583,3.0
169,40734,2.0
170,41040,10.0
171,41229,2.0
172,41377,1.0
173,41531,1.0
174,41737,1.0
175,42041,7.0
176,42348,3.0
177,42452,1.0
178,42579,0.0
179,42729,1.0
180,42905,1.0
181,43052,1.0
182,43174,3.0
183,43534,8.0
184,43907,6.0
185,44071,3.0
186,44309,3.0
187,44610,6.0
188,44746,1.0
189,44950,5.0
190,45216,3.0
191,45827,8.0
192,46137,3.0
193,46278,1.0
194,46704,8.0
195,46813,2.0
196,46993,3.0
197,47070,2.0
198,47397,5.0
199,47598,2.0
200,47793,6.0
201,48318,8.0
202,48554,6.0
203,48930,6.0
204,49295,5.0
205,49496,2.0
206,49612,2.0
207,49913,4.0
208,50122,2.0
209,50297,2.0
210,50386,0.0
211,50603,4.0
212,51077,7.0
213,51716,2.0
214,51991,7.0
215,52481,7.0
216,52589,1.0
217,52708,1.0
218,52891,3.0
219,53244,6.0
220,53620,8.0
221,53848,4.0
222,53992,1.0
223,54218,2.0
224,54505,4.0
225,54925,4.0
226,55165,4.0
227,55414,1.0
228,55572,2.0
229,55790,4.0
230,56053,2.0
231,56231,2.0
232,56367,1.0
233,57157,21.0
234,57351,3.0
235,57510,1.0
236,57907,12.0
237,58682,10.0
238,59047,5.0
239,59137,0.0
240,59260,1.0
241,59484,6.0
242,59814,8.0
243,59982,4.0
244,60095,0.0
245,60256,0.0
246,60333,2.0
247,60552,7.0
248,60828,1.0
249,61097,3.0
250,61401,6.0
251,61698,3.0
252,61966,3.0
253,62172,2.0
254,62473,3.0
255,62609,2.0
256,62825,2.0
257,63022,3.0
258,63296,5.0
259,63499,2.0
260,63583,2.0
261,63824,1.0
262,63948,0.0
263,64361,9.0
264,64664,3.0
265,64839,1.0
266,64925,1.0
267,65016,2.0
268,65302,9.0
269,65597,3.0
270,65917,3.0
271,66182,5.0
272,66275,1.0
273,66370,1.0
274,66609,5.0
275,66706,0.0
276,66956,4.0
277,67077,0.0
278,67321,4.0
279,67426,1.0
280,67700,4.0
281,68105,5.0
282,68195,2.0
283,68646,9.0
284,68833,3.0
285,69016,1.0
286,69174,1.0
287,69318,5.0
288,69740,4.0
289,70220,11.0
290,70483,2.0
291,70646,0.0
292,70801,2.0
293,70910,3.0
294,71328,6.0
295,71448,1.0
296,71543,0.0
297,71710,5.0
298,71825,1.0
299,71917,1.0
300,72029,1.0
301,72329,5.0
302,72605,4.0
303,72839,3.0
304,72955,1.0
305,73044,1.0
306,73298,5.0
307,73509,2.0
308,73633,4.0
309,74047,4.0
310,74260,2.0
311,74796,14.0
312,75072,5.0
313,75290,2.0
314,75390,3.0
315,75526,2.0
316,75782,3.0
317,75860,0.0
318,75949,0.0
319,76145,3.0
320,76618,7.0
321,76734,3.0
322,76942,5.0
323,77046,2.0
324,77578,6.0
325,78090,8.0
326,78315,4.0
327,78415,2.0
328,78778,7.0
329,78886,0.0
330,79033,1.0
331,79142,1.0
332,79239,0.0
333,79403,5.0
334,79606,5.0
335,79693,1.0
336,80054,3.0
337,80504,12.0
338,80943,2.0
339,81036,1.0
340,81147,1.0
341,81579,12.0
342,81852,7.0
343,82185,7.0
344,82449,0.0
345,82651,3.0
346,82842,4.0
347,83029,4.0
348,83180,2.0
349,83619,8.0
350,83917,3.0
351,84028,2.0
352,84243,3.0
353,84912,9.0
354,85043,0.0
355,85250,4.0
356,85352,2.0
357,85542,4.0
358,85775,5.0
359,85858,1.0
360,85972,1.0
361,86087,1.0
362,86256,3.0
363,86348,2.0
364,86494,1.0
365,86619,3.0
366,87031,7.0
367,87201,1.0
368,87746,14.0
369,87894,2.0
370,88106,5.0
371,88202,2.0
372,88310,0.0
373,88492,4.0
374,88571,1.0
375,88654,2.0
376,88907,6.0
377,89141,0.0
378,89336,3.0
379,89524,2.0
380,89826,9.0
381,90162,3.0
382,90434,5.0
383,90616,0.0
384,90782,1.0
385,91070,7.0
386,91329,3.0
387,91406,2.0
388,91622,5.0
389,92088,7.0
390,92176,1.0
391,92446,7.0
392,92550,0.0
393,92746,1.0
394,93039,5.0
395,93148,0.0
396,93264,0.0
397,93680,9.0
398,93788,1.0
399,93880,1.0
400,94119,6.0
401,94286,2.0
402,95007,6.0
403,95346,4.0
404,95431,0.0
405,95648,4.0
406,95857,4.0
407,96402,8.0
408,96509,0.0
409,96794,6.0
410,96998,2.0
411,97309,1.0
412,97562,6.0
413,98012,3.0
414,98088,1.0
415,98289,2.0
416,98368,2.0
417,98553,4.0
418,98965,5.0
419,99098,1.0
420,99204,1.0
421,99463,5.0
422,99823,4.0
423,100033,0.0
424,100689,17.0
425,100810,0.0
426,100936,1.0
427,101102,3.0
428,101184,1.0
429,101447,6.0
430,101893,10.0
431,102150,0.0
432,102247,2.0
433,102360,1.0
434,102567,6.0
435,102699,1.0
436,102894,2.0
437,103027,3.0
438,103238,1.0
439,103576,9.0
440,103724,0.0
441,103912,3.0
442,104122,2.0
443,104199,2.0
444,104290,2.0
445,104402,1.0
446,104650,6.0
447,104980,3.0
448,105221,1.0
449,105411,6.0
450,105506,0.0
451,105735,6.0
452,106179,12.0
453,106352,1.0
454,106474,2.0
455,106635,4.0
456,106776,1.0
457,106892,1.0
458,107122,3.0
459,107442,5.0
460,107632,2.0
