run,step,score
1,262,8.0
2,189,2.0
3,394,2.0
4,200,3.0
5,587,12.0
6,107,1.0
7,311,5.0
8,138,0.0
9,116,1.0
10,386,8.0
11,200,1.0
12,294,2.0
13,194,2.0
14,95,1.0
15,187,5.0
16,210,4.0
17,79,2.0
18,485,6.0
19,422,4.0
20,411,5.0
21,141,4.0
22,310,3.0
23,142,0.0
24,235,6.0
25,226,3.0
26,100,2.0
27,180,1.0
28,539,10.0
29,120,0.0
30,127,2.0
31,247,5.0
32,213,5.0
33,247,1.0
34,534,11.0
35,247,1.0
36,150,3.0
37,271,4.0
38,256,1.0
39,85,2.0
40,527,8.0
41,302,3.0
42,86,2.0
43,377,6.0
44,438,9.0
45,424,5.0
46,202,2.0
47,127,2.0
48,166,0.0
49,311,4.0
50,113,0.0
51,165,2.0
52,216,3.0
53,101,2.0
54,92,0.0
55,290,7.0
56,258,3.0
57,107,2.0
58,206,4.0
59,229,4.0
60,95,0.0
61,200,3.0
62,122,3.0
63,249,3.0
64,219,4.0
65,88,2.0
66,100,1.0
67,274,3.0
68,148,4.0
69,108,1.0
70,326,7.0
71,112,1.0
72,157,1.0
73,526,8.0
74,172,4.0
75,358,0.0
76,386,4.0
77,189,3.0
78,572,5.0
79,230,4.0
80,235,4.0
81,150,2.0
82,587,9.0
83,98,1.0
84,133,2.0
85,194,0.0
86,97,3.0
87,97,1.0
88,415,9.0
89,251,3.0
90,106,0.0
91,202,1.0
92,131,3.0
93,939,10.0
94,202,0.0
95,118,4.0
96,380,4.0
97,197,3.0
98,98,1.0
99,241,0.0
100,296,4.0
101,302,3.0
102,100,2.0
103,383,6.0
104,334,5.0
105,122,2.0
106,273,3.0
107,144,0.0
108,378,9.0
109,269,2.0
110,229,3.0
111,102,2.0
112,388,11.0
113,335,1.0
114,385,7.0
115,408,6.0
116,259,1.0
117,84,2.0
118,525,8.0
119,88,0.0
120,497,11.0
121,239,3.0
122,88,2.0
123,317,0.0
124,125,0.0
125,167,2.0
126,320,10.0
127,203,1.0
128,82,2.0
129,195,2.0
130,195,1.0
131,90,2.0
132,273,5.0
133,225,1.0
134,209,3.0
135,347,7.0
136,240,3.0
137,81,1.0
138,163,2.0
139,142,0.0
140,118,2.0
141,232,1.0
142,351,8.0
143,298,0.0
144,121,3.0
145,225,5.0
146,78,2.0
147,100,1.0
148,209,2.0
149,124,2.0
150,195,2.0
151,188,4.0
152,80,2.0
153,279,5.0
154,233,2.0
155,93,2.0
156,218,0.0
157,221,4.0
158,93,2.0
159,197,4.0
160,231,4.0
161,199,1.0
162,238,1.0
163,197,4.0
164,309,6.0
165,187,1.0
166,310,4.0
167,175,0.0
168,96,0.0
169,257,4.0
170,177,0.0
171,160,2.0
172,184,1.0
173,78,1.0
174,229,2.0
175,192,0.0
176,98,3.0
177,99,0.0
178,232,6.0
179,85,1.0
180,170,3.0
181,247,4.0
182,105,1.0
183,195,1.0
184,204,1.0
185,84,2.0
186,340,7.0
187,279,6.0
188,148,0.0
189,168,2.0
190,210,1.0
191,120,3.0
192,343,3.0
193,146,0.0
194,195,6.0
195,246,4.0
196,203,1.0
197,328,7.0
198,174,3.0
199,650,13.0
200,199,1.0
201,85,1.0
202,503,12.0
203,93,1.0
204,349,2.0
205,208,3.0
206,84,1.0
207,780,9.0
208,239,2.0
209,111,1.0
210,215,3.0
211,321,3.0
212,542,9.0
213,355,1.0
214,303,4.0
215,170,0.0
216,241,3.0
217,222,2.0
218,97,2.0
219,296,3.0
220,286,3.0
221,343,3.0
222,98,0.0
223,114,1.0
224,168,4.0
225,255,3.0
226,238,6.0
227,151,3.0
228,879,5.0
229,458,10.0
230,204,1.0
231,195,2.0
232,246,3.0
233,300,4.0
234,106,2.0
235,274,8.0
236,347,1.0
237,123,0.0
238,211,3.0
239,128,2.0
240,158,1.0
241,377,6.0
242,193,1.0
243,133,1.0
244,128,0.0
245,283,5.0
246,191,2.0
247,207,3.0
248,77,2.0
249,309,4.0
250,209,1.0
251,130,2.0
252,150,0.0
253,274,3.0
254,516,7.0
255,103,0.0
256,217,3.0
257,152,4.0
258,208,1.0
259,242,4.0
260,166,0.0
261,106,1.0
262,218,3.0
263,108,1.0
264,187,1.0
265,192,5.0
266,271,5.0
267,151,0.0
268,268,4.0
269,392,8.0
270,178,0.0
271,223,0.0
272,152,3.0
273,161,0.0
274,206,4.0
275,80,1.0
276,83,2.0
277,201,3.0
278,242,3.0
279,188,3.0
280,356,8.0
281,197,1.0
282,280,4.0
283,211,4.0
284,285,3.0
285,111,1.0
286,246,4.0
287,104,0.0
288,116,1.0
289,193,3.0
290,79,1.0
291,85,2.0
292,158,1.0
293,278,7.0
294,172,1.0
295,355,10.0
296,385,2.0
297,130,2.0
298,383,8.0
299,133,2.0
300,324,2.0
301,277,7.0
302,394,0.0
303,143,1.0
304,352,6.0
305,427,6.0
306,382,5.0
307,255,1.0
308,124,1.0
309,140,4.0
310,371,4.0
311,87,0.0
312,109,1.0
313,258,4.0
314,180,0.0
315,169,4.0
316,369,7.0
317,121,0.0
318,167,1.0
319,210,2.0
320,80,2.0
321,94,2.0
322,130,0.0
323,233,5.0
324,157,1.0
325,309,1.0
326,155,1.0
327,431,11.0
328,206,3.0
329,247,3.0
330,166,3.0
331,438,10.0
332,207,1.0
333,226,2.0
334,230,5.0
335,90,1.0
336,165,1.0
337,209,5.0
338,87,2.0
339,198,2.0
340,214,4.0
341,123,2.0
342,218,2.0
343,235,2.0
344,325,6.0
345,256,3.0
346,267,5.0
347,640,13.0
348,147,1.0
349,195,4.0
350,160,3.0
351,282,3.0
352,317,4.0
353,265,4.0
354,415,4.0
355,200,3.0
356,127,4.0
357,179,1.0
358,203,2.0
359,82,2.0
360,369,5.0
361,194,3.0
362,203,6.0
363,218,1.0
364,257,3.0
365,93,0.0
366,234,2.0
367,265,3.0
368,107,1.0
369,137,0.0
370,222,5.0
371,91,1.0
372,231,4.0
373,276,2.0
374,195,1.0
375,225,5.0
376,248,2.0
377,317,3.0
378,167,2.0
379,200,3.0
380,82,2.0
381,233,4.0
382,212,5.0
383,86,1.0
384,89,0.0
385,264,6.0
386,182,2.0
387,296,2.0
388,498,8.0
389,200,7.0
390,363,5.0
391,320,7.0
392,152,1.0
393,256,1.0
394,200,2.0
395,436,5.0
396,132,1.0
397,534,8.0
398,105,1.0
399,93,0.0
400,206,4.0
401,77,2.0
402,284,4.0
403,217,1.0
404,126,1.0
405,222,1.0
406,266,0.0
407,283,3.0
408,86,2.0
409,204,4.0
410,80,2.0
411,365,6.0
412,207,2.0
413,252,6.0
414,216,2.0
415,497,7.0
416,135,1.0
417,137,2.0
418,195,3.0
419,150,4.0
420,230,4.0
421,395,9.0
422,180,3.0
423,216,1.0
424,256,2.0
425,80,0.0
426,187,0.0
427,146,0.0
428,144,5.0
429,180,4.0
430,257,6.0
431,106,0.0
432,140,1.0
433,265,6.0
434,99,0.0
435,667,12.0
436,265,8.0
437,191,3.0
438,268,6.0
439,548,7.0
440,223,3.0
441,819,13.0
442,197,2.0
443,93,2.0
444,91,1.0
445,470,5.0
446,127,4.0
447,159,2.0
448,121,1.0
449,191,5.0
450,260,3.0
451,393,5.0
452,195,5.0
453,343,2.0
454,386,5.0
455,89,1.0
456,128,2.0
457,206,3.0
458,83,2.0
459,96,2.0
460,244,5.0
461,714,10.0
462,116,0.0
463,125,0.0
464,142,2.0
465,82,2.0
466,299,4.0
467,321,8.0
468,109,0.0
469,272,6.0
470,289,1.0
471,251,3.0
472,220,2.0
473,94,1.0
474,172,1.0
475,421,7.0
476,377,5.0
477,209,3.0
478,123,1.0
479,181,4.0
480,106,0.0
481,451,9.0
482,142,5.0
483,224,1.0
484,423,7.0
485,204,2.0
486,132,1.0
487,233,4.0
488,110,2.0
489,371,2.0
490,182,1.0
491,298,5.0
492,144,2.0
493,226,2.0
494,79,2.0
495,224,1.0
496,195,2.0
497,530,12.0
498,117,0.0
499,246,7.0
500,358,5.0
501,312,2.0
502,197,2.0
503,78,2.0
504,750,9.0
505,433,7.0
506,197,2.0
507,176,0.0
508,249,5.0
509,163,0.0
510,190,5.0
511,200,5.0
512,108,2.0
513,129,0.0
514,207,1.0
515,116,2.0
516,261,3.0
517,192,3.0
518,78,2.0
519,97,2.0
520,202,4.0
521,254,3.0
522,245,3.0
523,151,0.0
524,290,9.0
525,269,1.0
526,347,3.0
527,93,1.0
528,143,4.0
529,439,7.0
530,239,1.0
531,97,3.0
532,329,5.0
533,225,5.0
534,166,2.0
535,323,7.0
536,169,2.0
537,133,2.0
538,209,3.0
539,95,2.0
540,94,0.0
541,186,4.0
542,123,4.0
543,206,2.0
544,267,3.0
545,155,1.0
546,571,6.0
547,502,6.0
548,134,3.0
549,222,1.0
550,208,5.0
551,259,4.0
552,245,3.0
553,112,1.0
554,202,4.0
555,228,1.0
556,249,5.0
557,151,0.0
558,138,1.0
559,193,0.0
560,75,2.0
561,91,2.0
562,265,4.0
563,253,5.0
564,145,2.0
565,344,2.0
566,157,4.0
567,133,2.0
568,222,2.0
569,93,1.0
570,225,2.0
571,403,8.0
572,107,0.0
573,130,1.0
574,226,5.0
575,228,6.0
576,233,1.0
577,262,5.0
578,106,1.0
579,144,0.0
580,208,3.0
581,152,4.0
582,204,1.0
583,271,5.0
584,391,6.0
585,315,2.0
586,301,4.0
587,107,0.0
588,275,6.0
589,189,0.0
590,265,8.0
591,97,0.0
592,359,6.0
593,141,0.0
594,206,4.0
595,238,4.0
596,221,4.0
597,224,0.0
598,249,5.0
599,262,2.0
600,119,4.0
601,190,0.0
602,147,3.0
603,138,0.0
604,197,3.0
605,380,6.0
606,531,9.0
607,375,5.0
608,262,0.0
609,95,1.0
610,248,6.0
611,427,4.0
612,315,5.0
613,207,3.0
614,92,2.0
615,346,7.0
616,378,4.0
617,152,2.0
618,103,1.0
619,336,5.0
620,100,0.0
621,101,0.0
622,439,10.0
623,285,3.0
624,318,8.0
625,188,2.0
626,402,6.0
627,304,7.0
628,206,2.0
629,337,4.0
630,101,1.0
631,943,15.0
632,381,10.0
633,128,0.0
634,215,2.0
635,237,4.0
636,153,1.0
637,213,4.0
638,277,4.0
639,156,1.0
640,252,6.0
641,338,4.0
642,289,4.0
643,258,5.0
644,358,2.0
645,224,2.0
646,157,0.0
647,130,2.0
648,95,2.0
649,423,3.0
650,325,11.0
651,161,2.0
652,241,5.0
653,90,1.0
654,184,1.0
655,192,0.0
656,80,3.0
657,99,1.0
658,594,8.0
659,238,3.0
660,206,1.0
661,238,4.0
662,101,1.0
663,203,1.0
664,210,4.0
665,85,2.0
666,561,6.0
667,474,9.0
668,238,3.0
669,208,4.0
670,218,4.0
671,274,2.0
672,298,2.0
673,207,3.0
674,81,2.0
675,95,2.0
676,222,4.0
677,86,2.0
678,102,0.0
679,158,1.0
680,318,5.0
681,182,3.0
682,202,3.0
683,322,3.0
684,82,0.0
685,190,3.0
686,84,3.0
687,97,2.0
688,239,0.0
689,233,9.0
690,156,3.0
691,208,4.0
692,335,4.0
693,102,2.0
694,339,7.0
695,114,0.0
696,324,3.0
697,288,4.0
698,267,1.0
699,137,2.0
700,168,1.0
701,79,2.0
702,97,3.0
703,199,2.0
704,169,3.0
705,180,0.0
706,249,5.0
707,111,1.0
708,736,5.0
709,247,4.0
710,185,2.0
711,109,0.0
712,195,2.0
713,311,6.0
714,602,13.0
715,196,2.0
716,134,4.0
717,301,3.0
718,274,3.0
719,146,2.0
720,224,3.0
721,546,7.0
722,104,1.0
723,87,0.0
724,850,22.0
725,117,1.0
726,227,6.0
727,193,3.0
728,97,2.0
729,145,1.0
730,183,1.0
731,97,3.0
732,102,2.0
733,274,6.0
734,255,1.0
735,105,1.0
736,444,8.0
737,309,3.0
738,154,3.0
739,209,3.0
740,455,8.0
741,166,2.0
742,221,4.0
743,145,2.0
744,209,1.0
745,160,2.0
746,112,4.0
747,96,2.0
748,486,6.0
749,215,3.0
750,98,1.0
751,295,5.0
752,311,3.0
753,302,9.0
754,271,5.0
755,250,4.0
756,120,1.0
757,756,18.0
758,104,1.0
759,176,2.0
760,213,2.0
