run,step,score
1,1289,320.0
2,975,315.0
3,605,110.0
4,356,65.0
5,923,420.0
6,438,165.0
7,735,155.0
8,746,200.0
9,678,110.0
10,643,155.0
11,799,245.0
12,371,75.0
13,941,145.0
14,555,105.0
15,800,230.0
16,1127,280.0
17,457,45.0
18,1012,430.0
19,910,165.0
20,417,85.0
21,330,50.0
22,556,65.0
23,698,55.0
24,1351,245.0
25,870,475.0
26,505,40.0
27,834,210.0
28,683,45.0
29,941,295.0
30,366,60.0
31,511,185.0
32,1208,525.0
33,405,25.0
34,627,65.0
35,951,210.0
36,359,80.0
37,445,90.0
38,1521,255.0
39,615,145.0
40,1329,210.0
41,1227,350.0
42,483,40.0
43,395,30.0
44,777,210.0
45,638,120.0
46,680,155.0
47,1112,375.0
48,812,155.0
49,944,210.0
50,619,85.0
51,354,55.0
52,340,15.0
53,1045,125.0
54,638,150.0
55,778,210.0
56,487,105.0
57,532,25.0
58,1482,515.0
59,616,150.0
60,672,120.0
61,1616,225.0
62,678,135.0
63,617,160.0
64,637,150.0
65,1259,230.0
66,639,190.0
67,1397,465.0
68,634,145.0
69,992,225.0
70,394,15.0
71,1277,220.0
72,356,60.0
73,497,80.0
74,411,65.0
75,508,40.0
76,1109,330.0
77,790,110.0
78,435,30.0
79,692,120.0
80,994,240.0
81,334,35.0
82,601,60.0
83,614,85.0
84,722,115.0
85,391,45.0
86,662,70.0
87,789,275.0
88,784,355.0
89,771,145.0
90,674,105.0
91,595,35.0
92,736,60.0
93,722,285.0
94,648,130.0
95,651,110.0
96,370,105.0
97,671,55.0
98,677,220.0
99,824,190.0
100,563,35.0
101,1168,310.0
102,768,185.0
103,1112,120.0
104,645,135.0
105,823,125.0
106,938,240.0
107,773,135.0
108,662,210.0
109,1057,245.0
110,903,110.0
111,571,60.0
112,351,100.0
113,504,50.0
114,360,55.0
115,608,65.0
116,939,160.0
117,591,45.0
118,638,120.0
119,598,125.0
120,640,210.0
121,372,80.0
122,1019,340.0
123,632,140.0
124,329,40.0
125,469,110.0
126,1185,290.0
127,636,95.0
128,398,105.0
129,554,110.0
130,803,210.0
131,1178,260.0
132,312,15.0
133,879,510.0
134,349,60.0
135,764,335.0
136,691,210.0
137,769,120.0
138,895,410.0
139,643,145.0
140,675,115.0
141,355,75.0
142,949,260.0
143,692,125.0
144,455,120.0
145,714,110.0
146,525,90.0
147,1133,425.0
148,899,195.0
149,1093,465.0
150,630,110.0
151,579,65.0
152,901,265.0
153,645,80.0
154,787,125.0
155,609,110.0
156,804,185.0
157,648,70.0
158,377,105.0
159,975,210.0
160,470,165.0
161,1278,410.0
162,671,145.0
163,763,150.0
164,513,50.0
165,536,60.0
